"Light pink",255,182,193
"Pink",255,192,203
"Crimson",220,20,60
"Lavender blush",255,240,245
"Pale violet red",219,112,147
"Hot pink",255,105,180
"Deep pink",255,20,147
"Medium violet red",199,21,133
"Orchid",218,112,214
"Thistle",216,191,216
"Plum",221,160,221
"Violet",238,130,238
"Fuchsia",255,0,255
"Dark magenta",139,0,139
"Purple",128,0,128
"Medium orchid",186,85,211
"Dark violet",148,0,211
"Dark orchid",153,50,204
"Indigo",75,0,130
"Blue violet",138,43,226
"Medium purple",147,112,219
"Medium slate blue",123,104,238
"Slate blue",106,90,205
"Dark slate blue",72,61,139
"Ghost white",248,248,255
"Lavender",230,230,250
"Blue",0,0,255
"Medium blue",0,0,205
"Dark blue",0,0,139
"Navy",0,0,128
"Midnight blue",25,25,112
"Royal blue",65,105,225
"Cornflower blue",100,149,237
"Light steel blue",176,196,222
"Light slate gray",119,136,153
"Slate gray",112,128,144
"Dodger blue",30,144,255
"Alice blue",240,248,255
"Steel blue",70,130,180
"Light sky blue",135,206,250
"Sky blue",135,206,235
"Deep sky blue",0,191,255
"Light blue",173,216,230
"Powder blue",176,224,230
"Cadet blue",95,158,160
"Dark turquoise",0,206,209
"Azure",240,255,255
"Light cyan",224,255,255
"Pale turquoise",175,238,238
"Aqua",0,255,255
"Dark cyan",0,139,139
"Teal",0,128,128
"Dark slate gray",47,79,79
"Medium turquoise",72,209,204
"Light sea green",32,178,170
"Turquoise",64,224,208
"Aquamarine",127,255,212
"Medium aquamarine",102,205,170
"Medium spring green",0,250,154
"Mint cream",245,255,250
"Spring green",0,255,127
"Medium seagreen",60,179,113
"Sea green",46,139,87
"Honeydew",240,255,240
"Dark sea green",143,188,143
"Pale green",152,251,152
"Light green",144,238,144
"Lime green",50,205,50
"Lime",0,255,0
"Forest green",34,139,34
"Green",0,128,0
"Dark green",0,100,0
"Lawn green",124,252,0
"Chartreuse",127,255,0
"Green yellow",173,255,47
"Dark olive green",85,107,47
"Yellow green",154,205,50
"Olive drab",107,142,35
"Ivory",255,255,240
"Beige",245,245,220
"Light yellow",255,255,224
"Light golden rod yellow",250,250,210
"Yellow",255,255,0
"Olive",128,128,0
"Dark khaki",189,183,107
"Pale golden rod",238,232,170
"Lemon chiffon",255,250,205
"Khaki",240,230,140
"Gold",255,215,0
"Corn silk",255,248,220
"Golden rod",218,165,32
"Dark golden rod",184,134,11
"Floral white",255,250,240
"Old lace",253,245,230
"Wheat",245,222,179
"Orange",255,165,0
"Moccasin",255,228,181
"Papaya whip",255,239,213
"Blanched almond",255,235,205
"Navajo white",255,222,173
"Antique white",250,235,215
"Tan",210,180,140
"Burly wood",222,184,135
"Dark orange",255,140,0
"Bisque",255,228,196
"Linen",250,240,230
"Peru",205,133,63
"Peach puff",255,218,185
"Sandy brown",244,164,96
"Chocolate",210,105,30
"Saddle brown",139,69,19
"Seashell",255,245,238
"Sienna",160,82,45
"Light salmon",255,160,122
"Coral",255,127,80
"Orange red",255,69,0
"Dark salmon",233,150,122
"Tomato",255,99,71
"Salmon",250,128,114
"Misty Rose",255,228,225
"Light coral",240,128,128
"Snow",255,250,250
"Rosy brown",188,143,143
"Indian Red",205,92,92
"Red",255,0,0
"Brown",165,42,42
"Firebrick",178,34,34
"Dark red",139,0,0
"Maroon",128,0,0
"White",255,255,255
"White smoke",245,245,245
"Gainsboro",220,220,220
"Light grey",211,211,211
"Silver",192,192,192
"Dark gray",169,169,169
"Gray",128,128,128
"Dim gray",105,105,105
"Black",0,0,0
